64,S400 Classic,  19.50 ,  18.50 ,  17.50 ,  16.50 ,  18.50 ,  16.90 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
65,S400 Classic DF,  19.50 ,  18.50 ,  17.50 ,  16.50 ,  18.50 ,  16.90 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
66,S400 Classic Frame,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
67,S400 Classic French,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  11.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
68,S500 Classic,  21.00 ,  20.00 ,  19.00 ,  18.00 ,  20.00 ,  18.68 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
69,S500 Classic DF,  21.00 ,  20.00 ,  19.00 ,  18.00 ,  20.00 ,  18.68 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
70,S500 Classic Frame,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
71,S500 Classic French,  15.50 ,  14.50 ,  13.50 ,  12.50 ,  14.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
72,Clear Glass,  3.20 ,  3.20 ,  3.20 ,  3.20 ,  3.20 ,  3.20 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
73,Denver Flat,  14.00 ,  13.00 ,  12.00 ,  11.00 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
74,Denver Flat df,  14.00 ,  13.00 ,  12.00 ,  11.00 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
75,Denver Frame,  14.00 ,  13.00 ,  12.00 ,  12.00 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
76,Denver French,  14.00 ,  13.00 ,  12.00 ,  12.00 ,  13.00 ,  12.00 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
77,Denver Solid,  19.00 ,  18.00 ,  17.00 ,  16.00 ,  18.00 ,  16.70 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
78,Denver Solid DF,  19.00 ,  18.00 ,  17.00 ,  16.00 ,  18.00 ,  16.70 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
79,Frosted Glass,  6.50 ,  6.50 ,  6.50 ,  6.50 ,  6.50 ,  6.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
80,Genova Classic Flat,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
81,Genova Classic Flat DF,  14.50 ,  13.50 ,  12.50 ,  11.50 ,  13.50 ,  12.50 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
82,Genova Classic Frame,  14.50 ,  13.50 ,  12.50 ,  12.50 ,  13.50 ,  12.50 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
